GEOID,NAME,variable,estimate,moe
19045,Clinton,B19013_001,65177,3062
19195,Worth,B19013_001,76875,6813
19041,Clay,B19013_001,64082,6067
19163,Scott,B19013_001,76363,1338
19063,Emmet,B19013_001,65181,7554
19149,Plymouth,B19013_001,81600,2809
19069,Franklin,B19013_001,63648,3934
19073,Greene,B19013_001,59159,3959
19027,Carroll,B19013_001,68528,2429
19117,Lucas,B19013_001,67921,6315
19051,Davis,B19013_001,79505,7318
19025,Calhoun,B19013_001,66875,4086
19125,Marion,B19013_001,78059,3404
19111,Lee,B19013_001,59803,3489
19107,Keokuk,B19013_001,60856,5419
19161,Sac,B19013_001,70991,4675
19001,Adair,B19013_001,66176,4557
19057,Des Moines,B19013_001,60662,3525
19193,Woodbury,B19013_001,70147,3560
19167,Sioux,B19013_001,84736,5009
19131,Mitchell,B19013_001,68704,5144
19165,Shelby,B19013_001,67690,10295
19023,Butler,B19013_001,69651,3210
19179,Wapello,B19013_001,60034,3024
19087,Henry,B19013_001,64604,2941
19183,Washington,B19013_001,71339,2398
19031,Cedar,B19013_001,79080,3013
19101,Jefferson,B19013_001,56824,5153
19079,Hamilton,B19013_001,71750,5549
19047,Crawford,B19013_001,65039,5681
19065,Fayette,B19013_001,58764,3137
19169,Story,B19013_001,69006,2382
19003,Adams,B19013_001,68828,7559
19013,Black Hawk,B19013_001,64581,1842
19055,Delaware,B19013_001,76205,4916
19077,Guthrie,B19013_001,79981,7725
19075,Grundy,B19013_001,83617,4048
19147,Palo Alto,B19013_001,68963,5798
19083,Hardin,B19013_001,64906,4537
19035,Cherokee,B19013_001,64478,6090
19151,Pocahontas,B19013_001,63423,4499
19009,Audubon,B19013_001,54152,7028
19011,Benton,B19013_001,84742,3490
19175,Union,B19013_001,56813,4860
19067,Floyd,B19013_001,64500,5537
19039,Clarke,B19013_001,66821,4082
19093,Ida,B19013_001,62841,7623
19029,Cass,B19013_001,61657,5357
19121,Madison,B19013_001,89542,5987
19197,Wright,B19013_001,64033,6147
19037,Chickasaw,B19013_001,73421,3894
19053,Decatur,B19013_001,57146,6095
19185,Wayne,B19013_001,59118,4939
19133,Monona,B19013_001,62944,5362
19155,Pottawattamie,B19013_001,71446,1743
19139,Muscatine,B19013_001,69512,2971
19089,Howard,B19013_001,67336,5879
19191,Winneshiek,B19013_001,75652,5818
19043,Clayton,B19013_001,62326,4497
19007,Appanoose,B19013_001,51146,5172
19059,Dickinson,B19013_001,74570,3265
19189,Winnebago,B19013_001,63719,8292
19005,Allamakee,B19013_001,66000,2949
19123,Mahaska,B19013_001,69019,5938
19187,Webster,B19013_001,68054,3664
19099,Jasper,B19013_001,70128,3042
19135,Monroe,B19013_001,72518,10057
19017,Bremer,B19013_001,83343,2646
19157,Poweshiek,B19013_001,64837,3523
19127,Marshall,B19013_001,72785,3066
19177,Van Buren,B19013_001,60183,3386
19109,Kossuth,B19013_001,65656,5995
19159,Ringgold,B19013_001,69821,7454
19085,Harrison,B19013_001,77027,3579
19097,Jackson,B19013_001,71605,5843
19171,Tama,B19013_001,67955,3657
19145,Page,B19013_001,57752,3934
19061,Dubuque,B19013_001,75919,2773
19153,Polk,B19013_001,81621,1336
19049,Dallas,B19013_001,102349,3220
19021,Buena Vista,B19013_001,66564,4878
19015,Boone,B19013_001,79741,5325
19141,O'Brien,B19013_001,68216,5498
19091,Humboldt,B19013_001,66994,6321
19033,Cerro Gordo,B19013_001,65537,2325
19119,Lyon,B19013_001,72881,5027
19129,Mills,B19013_001,87810,5027
19143,Osceola,B19013_001,69138,5176
19113,Linn,B19013_001,76421,2006
19105,Jones,B19013_001,73071,5948
19173,Taylor,B19013_001,67279,4912
19081,Hancock,B19013_001,70212,3114
19095,Iowa,B19013_001,72185,4881
19071,Fremont,B19013_001,73750,5496
19115,Louisa,B19013_001,80223,6110
19019,Buchanan,B19013_001,78430,4902
19181,Warren,B19013_001,92990,3331
19103,Johnson,B19013_001,74721,2849
19137,Montgomery,B19013_001,63190,4294
